2024-10-18 07:25:46: ('1', 5.6, 18.2, 9.7, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:25:46: 1, 5.6, 18.2, 9.7, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:26:15: ('2', 5.59, 18.19, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:26:15: 2, 5.59, 18.19, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:26:46: ('3', 5.52, 18.1, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:26:46: 3, 5.52, 18.1, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:27:16: ('4', 5.54, 18.18, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:27:16: 4, 5.54, 18.18, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:27:47: ('5', 5.55, 18.13, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:27:47: 5, 5.55, 18.13, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:28:18: ('6', 5.57, 18.19, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:28:18: 6, 5.57, 18.19, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:28:49: ('7', 5.56, 18.19, 9.8, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:28:49: 7, 5.56, 18.19, 9.8, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:29:20: ('8', 5.56, 18.19, 9.3, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:29:20: 8, 5.56, 18.19, 9.3, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:29:50: ('9', 5.61, 18.13, 9.2, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:29:50: 9, 5.61, 18.13, 9.2, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:30:21: ('10', 5.55, 18.1, 9.1, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:30:21: 10, 5.55, 18.1, 9.1, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:31:08: ('1', 5.54, 18.18, 9.9, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:31:08: 1, 5.54, 18.18, 9.9, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:31:36: ('2', 5.56, 18.1, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:31:36: 2, 5.56, 18.1, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:32:07: ('3', 5.58, 18.11, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:32:07: 3, 5.58, 18.11, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:32:38: ('4', 5.52, 18.19, 9.7, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:32:38: 4, 5.52, 18.19, 9.7, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:33:08: ('5', 5.61, 18.12, 9.6, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:33:08: 5, 5.61, 18.12, 9.6, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:33:39: ('6', 5.48, 18.18, 10.0, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:33:39: 6, 5.48, 18.18, 10.0, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:34:11: ('7', 5.6, 18.13, 9.4, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:34:11: 7, 5.6, 18.13, 9.4, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:34:41: ('8', 5.55, 18.1, 8.9, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:34:41: 8, 5.55, 18.1, 8.9, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:35:12: ('9', 5.56, 18.19, 9.4, '18.10.24', '2024-10-17 14:54:07')
2024-10-18 07:35:12: 9, 5.56, 18.19, 9.4, 18.10.24, 2024-10-17 14:54:07
2024-10-18 07:37:07: ('1', 5.58, 18.2, 8.8, '18.10.24', '2024-10-17 14:54:07')
