FILTER KE DATA TERBARU;
"2024-12-21 11:03:01,348 [ERROR]";
"2024-12-21 11:02:56,280 [ERROR]";
"2024-12-21 11:02:51,053 [ERROR]";
"2024-12-21 11:02:45,805 [ERROR]";
"2024-12-21 10:59:29,867 [ERROR] Serial FAILED: could not open port 'COM11': FileNotFoundError(2, 'The system cannot find the file specified.', None, 2)";
2024-12-21 11:52:38,208 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:43,228 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:48,238 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:53,241 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:52:58,245 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:03,248 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:08,259 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:13,275 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:18,290 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:23,293 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:28,313 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:33,318 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:38,335 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:43,349 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:48,349 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:53,359 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:53:58,372 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:03,388 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:08,400 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:13,401 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:18,403 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:23,409 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:28,421 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:33,437 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
2024-12-21 11:54:38,443 [ERROR] Serial FAILED: could not open port 'COM11': PermissionError(13, 'Access is denied.', None, 5)
