2025-01-23 10:38:42: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:38:42', 'created_date': '2025-01-23'}
2025-01-23 10:38:47: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '10:38:46', 'created_date': '2025-01-23'}
2025-01-23 10:38:52: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '10:38:52', 'created_date': '2025-01-23'}
2025-01-23 10:38:57: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '10:38:57', 'created_date': '2025-01-23'}
2025-01-23 10:39:02: {'h_value': '12.9', 'd_value': '18.19', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '10', 'time_insert': '10:39:02', 'created_date': '2025-01-23'}
2025-01-23 10:39:25: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:39:25', 'created_date': '2025-01-23'}
2025-01-23 10:39:30: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:39:30', 'created_date': '2025-01-23'}
2025-01-23 10:39:35: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:39:35', 'created_date': '2025-01-23'}
2025-01-23 10:39:40: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:39:40', 'created_date': '2025-01-23'}
2025-01-23 10:39:45: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:39:45', 'created_date': '2025-01-23'}
2025-01-23 10:44:52: {'h_value': '12.2', 'd_value': '18.21', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '1', 'time_insert': '10:44:52', 'created_date': '2025-01-23'}
2025-01-23 10:44:57: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '10:44:57', 'created_date': '2025-01-23'}
2025-01-23 10:45:02: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '10:45:02', 'created_date': '2025-01-23'}
2025-01-23 10:45:07: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '10:45:07', 'created_date': '2025-01-23'}
2025-01-23 10:45:12: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '10:45:12', 'created_date': '2025-01-23'}
2025-01-23 10:45:17: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '10:45:17', 'created_date': '2025-01-23'}
2025-01-23 10:45:22: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '10:45:22', 'created_date': '2025-01-23'}
2025-01-23 10:45:27: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '10:45:27', 'created_date': '2025-01-23'}
2025-01-23 10:45:32: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '10:45:32', 'created_date': '2025-01-23'}
2025-01-23 11:01:09: {'h_value': '12.2', 'd_value': '18.21', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '1', 'time_insert': '11:01:09', 'created_date': '2025-01-23'}
2025-01-23 11:01:14: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '11:01:14', 'created_date': '2025-01-23'}
2025-01-23 11:01:19: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '11:01:19', 'created_date': '2025-01-23'}
2025-01-23 11:01:24: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '11:01:24', 'created_date': '2025-01-23'}
2025-01-23 11:03:01: {'h_value': '12.2', 'd_value': '18.21', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '1', 'time_insert': '11:03:01', 'created_date': '2025-01-23'}
2025-01-23 11:03:06: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '11:03:06', 'created_date': '2025-01-23'}
2025-01-23 11:03:11: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '11:03:11', 'created_date': '2025-01-23'}
2025-01-23 11:03:16: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '11:03:16', 'created_date': '2025-01-23'}
2025-01-23 11:06:11: {'h_value': '12.2', 'd_value': '18.21', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '1', 'time_insert': '11:06:11', 'created_date': '2025-01-23'}
2025-01-23 11:06:16: {'h_value': '12.1', 'd_value': '18.19', 't_value': '5.57', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '2', 'time_insert': '11:06:16', 'created_date': '2025-01-23'}
2025-01-23 11:06:21: {'h_value': '13.8', 'd_value': '18.21', 't_value': '5.63', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '3', 'time_insert': '11:06:21', 'created_date': '2025-01-23'}
2025-01-23 11:06:26: {'h_value': '12.3', 'd_value': '18.18', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '4', 'time_insert': '11:06:26', 'created_date': '2025-01-23'}
2025-01-23 11:06:31: {'h_value': '12.2', 'd_value': '18.19', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '5', 'time_insert': '11:06:31', 'created_date': '2025-01-23'}
2025-01-23 11:06:36: {'h_value': '12.6', 'd_value': '18.13', 't_value': '5.56', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '6', 'time_insert': '11:06:36', 'created_date': '2025-01-23'}
2025-01-23 11:06:41: {'h_value': '12.1', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '7', 'time_insert': '11:06:41', 'created_date': '2025-01-23'}
2025-01-23 11:06:46: {'h_value': '12.8', 'd_value': '18.11', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '8', 'time_insert': '11:06:46', 'created_date': '2025-01-23'}
2025-01-23 11:06:51: {'h_value': '12.1', 'd_value': '18.13', 't_value': '5.54', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '9', 'time_insert': '11:06:51', 'created_date': '2025-01-23'}
2025-01-23 11:06:56: {'h_value': '12.9', 'd_value': '18.19', 't_value': '5.58', 'status': 'N', 'code_instrument': 'A20230626002', 'time_series': '10', 'time_insert': '11:06:56', 'created_date': '2025-01-23'}
