2024-10-24 10:20:11: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:20:01')
2024-10-24 10:20:16: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:20:01')
2024-10-24 10:20:21: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:20:01')
2024-10-24 10:20:26: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:20:01')
2024-10-24 10:25:20: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 10:25:25: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 10:25:30: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 10:25:35: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 10:32:06: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 10:32:11: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 10:32:16: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 10:32:21: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:09:05: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:09:10: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:09:15: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:09:20: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:12:56: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:13:01: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:13:06: ('4', 5.57, 18.17, 11.7, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:13:11: ('5', 5.63, 18.19, 12.0, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 11:30:08: ('2', 5.55, 18.24, 10.6, 'Date', '2024-10-24 10:25:11')
2024-10-24 11:30:13: ('3', 5.7, 18.13, 11.6, 'Date', '2024-10-24 10:25:11')
2024-10-24 11:30:18: ('4', 5.57, 18.17, 11.7, 'Date', '2024-10-24 10:25:11')
2024-10-24 11:30:23: ('5', 5.63, 18.19, 12.0, 'Date', '2024-10-24 10:25:11')
2024-10-24 12:41:10: ('2', 5.55, 18.24, 10.6, '15.10.24', '2024-10-24 10:25:11')
2024-10-24 12:41:15: ('3', 5.7, 18.13, 11.6, '15.10.24', '2024-10-24 10:25:11')
